domain,comparison,feature,feature_label,n_ref,n_cmp,ref_mean,cmp_mean,ref_std,cmp_std,var_ratio,p_dispersion,p_location,p_dispersion_fdr,p_location_fdr,disp_significant,loc_significant
wp,human_vs_gpt,sent_complex_compound,Sentence type: COMPLEX-COMPOUND,1000,1000,0.1011,0.0588,0.0949,0.0541,3.079,9.567382242065129e-20,1.6159788716403832e-28,4.592343476191261e-19,3.1026794335495356e-28,True,True
wp,human_vs_gpt,sent_other,Sentence type: OTHER,1000,1000,0.1392,0.0264,0.1009,0.0512,3.881,1.8705019915305946e-72,3.298062714115433e-187,8.978409559346854e-71,1.583070102775408e-185,True,True
wp,human_vs_gpt,struct_loose,Sentence structure: LOOSE,1000,1000,0.2987,0.4586,0.1103,0.1202,0.842,0.0055168010473918535,1.933214719229955e-158,0.008826881675826966,3.093143550767928e-157,True,True
wp,human_vs_gpt,struct_periodic,Sentence structure: PERIODIC,1000,1000,0.2917,0.3403,0.1417,0.1158,1.498,7.2749940100363766e-06,4.719002349966232e-27,1.8378932235881375e-05,8.712004338399199e-27,True,True
wp,human_vs_gpt,struct_other,Sentence structure: OTHER,1000,1000,0.4096,0.2011,0.1633,0.0999,2.67,1.341295300675648e-40,6.66848557833745e-172,3.2191087216215557e-39,1.600436538800988e-170,True,True
wp,human_vs_claude,sent_simple,Sentence type: SIMPLE,1000,1000,0.4018,0.5206,0.1408,0.1282,1.208,0.0007887335622049195,7.37093767892663e-80,0.001456123499455236,2.5271786327748446e-79,True,True
wp,human_vs_claude,sent_complex,Sentence type: COMPLEX,1000,1000,0.2477,0.2717,0.1209,0.1192,1.03,0.6579600814352877,4.763297747592952e-07,0.7895520977223452,6.92843308740793e-07,False,True
wp,human_vs_claude,sent_compound,Sentence type: COMPOUND,1000,1000,0.1102,0.0949,0.0727,0.0877,0.687,0.20772200966337062,1.6362773872453258e-09,0.27696267955116083,2.5335907931540526e-09,False,True
wp,human_vs_claude,sent_complex_compound,Sentence type: COMPLEX-COMPOUND,1000,1000,0.1011,0.0364,0.0949,0.0516,3.375,1.2489532494157976e-36,1.6257959090655462e-93,1.4987438992989571e-35,7.803820363514622e-93,True,True
wp,human_vs_claude,sent_other,Sentence type: OTHER,1000,1000,0.1392,0.0763,0.1009,0.0666,2.297,1.4072326110362947e-22,1.0496169952456165e-54,7.505240592193572e-22,2.7989786539883106e-54,True,True
wp,human_vs_claude,struct_loose,Sentence structure: LOOSE,1000,1000,0.2987,0.3828,0.1103,0.121,0.831,0.003599925821477721,3.1103810039470478e-58,0.006171301408247521,8.782252246438723e-58,True,True
wp,human_vs_claude,struct_periodic,Sentence structure: PERIODIC,1000,1000,0.2917,0.2196,0.1417,0.1087,1.702,9.001094451234444e-15,2.4592720143740724e-40,3.6004377804937776e-14,5.902252834497774e-40,True,True
wp,human_vs_claude,struct_other,Sentence structure: OTHER,1000,1000,0.4096,0.3975,0.1633,0.1368,1.424,3.2321941033425656e-06,0.036498266701630436,8.619184275580175e-06,0.04171230480186335,True,True
